,Link,Name,Title
0,content_CVPR_2019/papers/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.pdf,d5fb289037dbc8a189e8cf660de07d38e1b773b1,Finding Task-Relevant Features for Few-Shot Learning by Category Traversal
1,content_CVPR_2019/papers/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.pdf,162bfd31e3e613c9f9bae014d251a6f5ca653601,Edge-Labeling Graph Neural Network for Few-Shot Learning
2,content_CVPR_2019/papers/Gidaris_Generating_Classification_Weights_With_GNN_Denoising_Autoencoders_for_Few-Shot_Learning_CVPR_2019_paper.pdf,4b2d65118e9f30a2be4fb13aebbf8079f3d9397f,Generating Classification Weights With GNN Denoising Autoencoders for Few-Shot Learning
3,content_CVPR_2019/papers/Wang_Kervolutional_Neural_Networks_CVPR_2019_paper.pdf,7aebcfbdeb1b92b2710c82cd6a60e10b27775847,Kervolutional Neural Networks
4,content_CVPR_2019/papers/Hein_Why_ReLU_Networks_Yield_High-Confidence_Predictions_Far_Away_From_the_CVPR_2019_paper.pdf,931bb30e0ed36f7fae29ad7e6ff341a71f5ab52d,Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem
5,content_CVPR_2019/papers/Tsuzuku_On_the_Structural_Sensitivity_of_Deep_Convolutional_Networks_to_the_CVPR_2019_paper.pdf,2e582d798262da00cef7a389b18aa5a462340d1b,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions
6,content_CVPR_2019/papers/Qiao_Neural_Rejuvenation_Improving_Deep_Network_Training_by_Enhancing_Computational_Resource_CVPR_2019_paper.pdf,211ba27bbcaa83c2133bc792bc30759ec5a988c2,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization
7,content_CVPR_2019/papers/Zheng_Hardness-Aware_Deep_Metric_Learning_CVPR_2019_paper.pdf,a8d6ff504463a98ebc125e68a0c726722379297f,Hardness-Aware Deep Metric Learning
8,content_CVPR_2019/papers/Liu_Auto-DeepLab_Hierarchical_Neural_Architecture_Search_for_Semantic_Image_Segmentation_CVPR_2019_paper.pdf,75234f44ba9d00579f8df99623fd962550f5654f,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation
9,content_CVPR_2019/papers/Yoo_Learning_Loss_for_Active_Learning_CVPR_2019_paper.pdf,14adb571c3253358d029b6cd244d3f7053b512c0,Learning Loss for Active Learning
10,content_CVPR_2019/papers/Khan_Striking_the_Right_Balance_With_Uncertainty_CVPR_2019_paper.pdf,fd828c7deffb2bcbc7f81e308558e17adbb88a17,Striking the Right Balance With Uncertainty
11,content_CVPR_2019/papers/Cubuk_AutoAugment_Learning_Augmentation_Strategies_From_Data_CVPR_2019_paper.pdf,d5462ec85b897d73c178b1cd989d6cfc872d680c,AutoAugment: Learning Augmentation Strategies From Data
12,content_CVPR_2019/papers/Le_SDRSAC_Semidefinite-Based_Randomized_Approach_for_Robust_Point_Cloud_Registration_Without_CVPR_2019_paper.pdf,c52d7a1487c533a7784f2f73ff8f501d4b18d9e8,SDRSAC: Semidefinite-Based Randomized Approach for Robust Point Cloud Registration Without Correspondences
13,content_CVPR_2019/papers/Schops_BAD_SLAM_Bundle_Adjusted_Direct_RGB-D_SLAM_CVPR_2019_paper.pdf,388b92bdd114b03c9949f94da84699f8bf3f7e2f,BAD SLAM: Bundle Adjusted Direct RGB-D SLAM
14,content_CVPR_2019/papers/Pittaluga_Revealing_Scenes_by_Inverting_Structure_From_Motion_Reconstructions_CVPR_2019_paper.pdf,69e52dc0d6d75911f382ef380587e734ee6ce480,Revealing Scenes by Inverting Structure From Motion Reconstructions
15,content_CVPR_2019/papers/Nam_Strand-Accurate_Multi-View_Hair_Capture_CVPR_2019_paper.pdf,3241eb73d53f10f10e92cb66991bd062cba305b0,Strand-Accurate Multi-View Hair Capture
16,content_CVPR_2019/papers/Park_DeepSDF_Learning_Continuous_Signed_Distance_Functions_for_Shape_Representation_CVPR_2019_paper.pdf,2b6a7a78d9bfdd55b0556d8553c9e8d97ff458fb,DeepSDF: Learning Continuous Signed Distance Functions for Shape Representation
17,content_CVPR_2019/papers/Srinivasan_Pushing_the_Boundaries_of_View_Extrapolation_With_Multiplane_Images_CVPR_2019_paper.pdf,9ee998586e1b929ee17096786074693882b6585d,Pushing the Boundaries of View Extrapolation With Multiplane Images
18,content_CVPR_2019/papers/Zhang_GA-Net_Guided_Aggregation_Net_for_End-To-End_Stereo_Matching_CVPR_2019_paper.pdf,075d9f2b4dd2a475ff7367b9329522fdb1071069,GA-Net: Guided Aggregation Net for End-To-End Stereo Matching
19,content_CVPR_2019/papers/Tonioni_Real-Time_Self-Adaptive_Deep_Stereo_CVPR_2019_paper.pdf,3d4f98b410470fc1799ee3edcb2008274e5fafb8,Real-Time Self-Adaptive Deep Stereo
20,content_CVPR_2019/papers/Kim_LAF-Net_Locally_Adaptive_Fusion_Networks_for_Stereo_Confidence_Estimation_CVPR_2019_paper.pdf,e44d7d37b3615c124df4945d3d7ca12ab3955a5c,LAF-Net: Locally Adaptive Fusion Networks for Stereo Confidence Estimation
21,content_CVPR_2019/papers/Zhao_NM-Net_Mining_Reliable_Neighbors_for_Robust_Feature_Correspondences_CVPR_2019_paper.pdf,0e3b63e407d0cd766965889b698703d319a4b2ea,NM-Net: Mining Reliable Neighbors for Robust Feature Correspondences
22,content_CVPR_2019/papers/Trager_Coordinate-Free_Carlsson-Weinshall_Duality_and_Relative_Multi-View_Geometry_CVPR_2019_paper.pdf,0f09e69cd71319c24b3f6e0fef1e90bd9a15c7fd,Coordinate-Free Carlsson-Weinshall Duality and Relative Multi-View Geometry
23,content_CVPR_2019/papers/Han_Deep_Reinforcement_Learning_of_Volume-Guided_Progressive_View_Inpainting_for_3D_CVPR_2019_paper.pdf,ea208fade0f835a173ecd48f9f9b637b06de6790,Deep Reinforcement Learning of Volume-Guided Progressive View Inpainting for 3D Point Scene Completion From a Single Depth Image
24,content_CVPR_2019/papers/Girdhar_Video_Action_Transformer_Network_CVPR_2019_paper.pdf,e3ac1ff8f56370aca536773c134f131d5f72bc78,Video Action Transformer Network
25,content_CVPR_2019/papers/Hussein_Timeception_for_Complex_Action_Recognition_CVPR_2019_paper.pdf,c985a68a5df2396851b710b77f4ac43c32bb3e78,Timeception for Complex Action Recognition
26,content_CVPR_2019/papers/Yang_STEP_Spatio-Temporal_Progressive_Learning_for_Video_Action_Detection_CVPR_2019_paper.pdf,c5851330c5debdc11ac6b1ca4f62e77fede6da22,STEP: Spatio-Temporal Progressive Learning for Video Action Detection
27,content_CVPR_2019/papers/Sun_Relational_Action_Forecasting_CVPR_2019_paper.pdf,f4cb71f268c43643bd22c76272ff810f789d7203,Relational Action Forecasting
28,content_CVPR_2019/papers/Wu_Long-Term_Feature_Banks_for_Detailed_Video_Understanding_CVPR_2019_paper.pdf,417084907bde3fc8b88f9fa885300e5d1a864606,Long-Term Feature Banks for Detailed Video Understanding
